01 SCDCTB_AD_202010161719.txt  2020101617192020101520201015                                                                                                                                                                                                                                                                                                                                                                                    
02 577 BR SAO 0001INV0    000738642020101520201118BRL00000000000993700001000000000000000009937C21201001                                              0366061                  19700002            P000002F.C. MORAIS AGENCIA DE VIAGENS                                                                                                                                                                                                        
02 577 BR SAO 0001INV0    000738642020101520201118BRL00000000001021800001000000000000000010218D21501010                                              0366061                  19700002            P000003F.C. MORAIS AGENCIA DE VIAGENS                                                                                                                                                                                                        
02 577 BR SAO 0001INV0    000738642020101520201118BRL00000000000028100001000000000000000000281C51401001            SS4900                            0366061                  19700002            P000004F.C. MORAIS AGENCIA DE VIAGENS                                                                                                                                                                                                        
02 577 BR SAO 0001INV0    000738652020101520201118BRL00000000003506400001000000000000000035064C21201001                                              0366070                  20700001            P000005J M VIAGENS E TURISMO LTDA ME                                                                                                                                                                                                         
02 577 BR SAO 0001INV0    000738652020101520201118BRL00000000003605700001000000000000000036057D21501010                                              0366070                  20700001            P000006J M VIAGENS E TURISMO LTDA ME                                                                                                                                                                                                         
02 577 BR SAO 0001INV0    000738652020101520201118BRL00000000000099300001000000000000000000993C51401001            SS4900                            0366070                  20700001            P000007J M VIAGENS E TURISMO LTDA ME                                                                                                                                                                                                         
02 577 BR SAO 0001INV0    000738662020101520201025BRL00000000007092800001000000000000000070928C11299099                                              0365435                  02100002            P000008SKY TEAM AGENCIA DEVIAGENS ETU                                                                                                                                                                                                        
02 577 BR SAO 0001INV0    000738662020101520201025BRL00000000000833500001000000000000000008335C21201001                                              0365435                  02100002            P000009SKY TEAM AGENCIA DEVIAGENS ETU                                                                                                                                                                                                        
02 577 BR SAO 0001INV0    000738662020101520201025BRL00000000007926300001000000000000000079263D51401003            SS4900                            0365435                  02100002            P000010SKY TEAM AGENCIA DEVIAGENS ETU                                                                                                                                                                                                        
02 577 BR SAO 0001INV0    000738672020101520201025BRL00000000703476400001000000000000007034764C11299099                                              0365443                  04100024            P000011KONTIK - (SP) / SEM DU                                                                                                                                                                                                                
02 577 BR SAO 0001INV0    000738672020101520201025BRL00000000734069800001000000000000007340698C21201001                                              0365443                  04100024            P000012KONTIK - (SP) / SEM DU                                                                                                                                                                                                                
02 577 BR SAO 0001INV0    000738672020101520201025BRL00000001476548100001000000000000014765481D21501010                                              0365443                  04100024            P000013KONTIK - (SP) / SEM DU                                                                                                                                                                                                                
02 577 BR SAO 0001INV0    000738672020101520201025BRL00000000039001900001000000000000000390019C51401001            SS4900                            0365443                  04100024            P000014KONTIK - (SP) / SEM DU                                                                                                                                                                                                                
02 577 BR SAO 0001INV0    000738682020101520201025BRL00000000000470200001000000000000000004702C21201001                                              0365445                  14400001            P000015REC - FTS SEM DU - FLYTOUR TRA                                                                                                                                                                                                        
02 577 BR SAO 0001INV0    000738682020101520201025BRL00000000000470200001000000000000000004702D51401003            SS4900                            0365445                  14400001            P000016REC - FTS SEM DU - FLYTOUR TRA                                                                                                                                                                                                        
02 577 BR SAO 0001INV0    000738692020101520201025BRL00000000004245700001000000000000000042457C21201001                                              0365450                  57506212            P000017CAUE VIAGENS E TURISMO LTDA                                                                                                                                                                                                           
02 577 BR SAO 0001INV0    000738692020101520201025BRL00000000004365700001000000000000000043657D21501010                                              0365450                  57506212            P000018CAUE VIAGENS E TURISMO LTDA                                                                                                                                                                                                           
02 577 BR SAO 0001INV0    000738692020101520201025BRL00000000000120000001000000000000000001200C51401001            SS4900                            0365450                  57506212            P000019CAUE VIAGENS E TURISMO LTDA                                                                                                                                                                                                           
02 577 BR SAO 0001INV0    000738702020101520201025BRL00000000009241900001000000000000000092419C21201001                                              0365456                  96337102            P000020TAKS TOUR AGENCIA DE VIAGEM E                                                                                                                                                                                                         
02 577 BR SAO 0001INV0    000738702020101520201025BRL00000000009503000001000000000000000095030D21501010                                              0365456                  96337102            P000021TAKS TOUR AGENCIA DE VIAGEM E                                                                                                                                                                                                         
02 577 BR SAO 0001INV0    000738702020101520201025BRL00000000000261100001000000000000000002611C51401001            SS4900                            0365456                  96337102            P000022TAKS TOUR AGENCIA DE VIAGEM E                                                                                                                                                                                                         
02 577 BR SAO 0001INV0    000738712020101520201025BRL00000000001080400001000000000000000010804C21201001                                              0365459                  57035414            P000023MORAES E SILVEIRA LTDA                                                                                                                                                                                                                
02 577 BR SAO 0001INV0    000738712020101520201025BRL00000000001110900001000000000000000011109D21501010                                              0365459                  57035414            P000024MORAES E SILVEIRA LTDA                                                                                                                                                                                                                
02 577 BR SAO 0001INV0    000738712020101520201025BRL00000000000030500001000000000000000000305C51401001            SS4900                            0365459                  57035414            P000025MORAES E SILVEIRA LTDA                                                                                                                                                                                                                
